Designator,Mid X,Mid Y,Rotation,Layer
A2,166.85,-33.39,90.0,top
D00,154.775,-68.025,0.0,bottom
D01,183.35,-68.025,0.0,bottom
D02,202.4,-68.025,0.0,bottom
D03,221.45,-68.025,0.0,bottom
D04,240.5,-68.025,0.0,bottom
D05,269.075,-68.025,0.0,bottom
D06,288.125,-68.025,0.0,bottom
D07,307.175,-68.025,0.0,bottom
D08,326.225,-68.025,0.0,bottom
D10,154.775,-96.6,0.0,bottom
D11,173.825,-96.6,0.0,bottom
D12,192.875,-96.6,0.0,bottom
D13,211.925,-96.6,0.0,bottom
D14,230.975,-96.6,0.0,bottom
D15,250.025,-96.6,0.0,bottom
D16,269.075,-96.6,0.0,bottom
D17,288.125,-96.6,0.0,bottom
D18,307.175,-96.6,0.0,bottom
D19,326.225,-96.6,0.0,bottom
D20,164.3,-115.65,0.0,bottom
D21,183.35,-115.65,0.0,bottom
D22,202.4,-115.65,0.0,bottom
D23,221.45,-115.65,0.0,bottom
D24,240.5,-115.65,0.0,bottom
D25,259.55,-115.65,0.0,bottom
D26,278.6,-115.65,0.0,bottom
D27,297.65,-115.65,0.0,bottom
D28,323.84375,-125.175,0.0,bottom
D29,350.0375,-115.65,0.0,bottom
D30,169.0625,-134.7,0.0,bottom
D31,188.1125,-134.7,0.0,bottom
D32,207.1625,-134.7,0.0,bottom
D33,226.2125,-134.7,0.0,bottom
D34,245.2625,-134.7,0.0,bottom
D35,264.3125,-134.7,0.0,bottom
D36,283.3625,-134.7,0.0,bottom
D37,302.4125,-134.7,0.0,bottom
D38,350.0375,-134.7,0.0,bottom
D40,178.5875,-153.75,0.0,bottom
D41,197.6375,-153.75,0.0,bottom
D42,216.6875,-153.75,0.0,bottom
D43,235.7375,-153.75,0.0,bottom
D44,254.7875,-153.75,0.0,bottom
D45,273.8375,-153.75,0.0,bottom
D46,292.8875,-153.75,0.0,bottom
D47,321.4625,-158.5125,0.0,bottom
D48,340.5125,-158.5125,0.0,bottom
D49,359.5625,-158.5125,0.0,bottom
D50,183.35,-172.8,0.0,bottom
D51,219.06875,-172.8,0.0,bottom
D52,250.025,-172.8,0.0,bottom
D53,276.21875,-172.8,0.0,bottom
D54,297.65,-172.8,0.0,bottom
D55,321.4625,-177.5625,0.0,bottom
D56,340.5125,-177.5625,0.0,bottom
D57,359.5625,-177.5625,0.0,bottom
SW00,154.775,-59.525,0.0,top
SW01,183.35,-59.525,0.0,top
SW02,202.4,-59.525,0.0,top
SW03,221.45,-59.525,0.0,top
SW04,240.5,-59.525,0.0,top
SW05,269.075,-59.525,0.0,top
SW06,288.125,-59.525,0.0,top
SW07,307.175,-59.525,0.0,top
SW08,326.225,-59.525,0.0,top
SW10,154.775,-88.1,0.0,top
SW11,173.825,-88.1,0.0,top
SW12,192.875,-88.1,0.0,top
SW13,211.925,-88.1,0.0,top
SW14,230.975,-88.1,0.0,top
SW15,250.025,-88.1,0.0,top
SW16,269.075,-88.1,0.0,top
SW17,288.125,-88.1,0.0,top
SW18,307.175,-88.1,0.0,top
SW19,326.225,-88.1,0.0,top
SW20,164.3,-107.15,0.0,top
SW21,183.35,-107.15,0.0,top
SW22,202.4,-107.15,0.0,top
SW23,221.45,-107.15,0.0,top
SW24,240.5,-107.15,0.0,top
SW25,259.55,-107.15,0.0,top
SW26,278.6,-107.15,0.0,top
SW27,297.65,-107.15,0.0,top
SW28,323.84375,-116.675,0.0,top
SW29,350.0375,-107.15,0.0,top
SW30,169.0625,-126.2,0.0,top
SW31,188.1125,-126.2,0.0,top
SW32,207.1625,-126.2,0.0,top
SW33,226.2125,-126.2,0.0,top
SW34,245.2625,-126.2,0.0,top
SW35,264.3125,-126.2,0.0,top
SW36,283.3625,-126.2,0.0,top
SW37,302.4125,-126.2,0.0,top
SW38,350.0375,-126.2,0.0,top
SW40,178.5875,-145.25,0.0,top
SW41,197.6375,-145.25,0.0,top
SW42,216.6875,-145.25,0.0,top
SW43,235.7375,-145.25,0.0,top
SW44,254.7875,-145.25,0.0,top
SW45,273.8375,-145.25,0.0,top
SW46,292.8875,-145.25,0.0,top
SW47,321.4625,-150.0125,0.0,top
SW48,340.5125,-150.0125,0.0,top
SW49,359.5625,-150.0125,0.0,top
SW50,183.35,-164.3,0.0,top
SW51,219.06875,-164.3,0.0,top
SW52,250.025,-164.3,0.0,top
SW53,276.21875,-164.3,0.0,top
SW54,297.65,-164.3,0.0,top
SW55,321.4625,-169.0625,0.0,top
SW56,340.5125,-169.0625,0.0,top
SW57,359.5625,-169.0625,0.0,top
