Designator,Mid X,Mid Y,Rotation,Layer
A2,195.4275,-33.274,270.0,top
D1,39.8115,-65.403999,180.0,bottom
D10,39.8115,-93.978999,180.0,bottom
D11,58.8615,-93.978999,180.0,bottom
D12,77.9115,-93.978999,180.0,bottom
D13,96.9615,-93.978999,180.0,bottom
D14,116.0115,-93.978999,180.0,bottom
D15,135.0615,-93.978999,180.0,bottom
D16,154.1115,-93.978999,180.0,bottom
D17,173.1615,-93.978999,180.0,bottom
D18,192.2115,-93.978999,180.0,bottom
D19,211.2615,-93.978999,180.0,bottom
D2,68.3865,-65.403999,180.0,bottom
D20,49.3365,-113.028999,180.0,bottom
D21,68.3865,-113.028999,180.0,bottom
D22,87.4365,-113.028999,180.0,bottom
D23,106.4865,-113.028999,180.0,bottom
D24,125.5365,-113.028999,180.0,bottom
D25,144.5865,-113.028999,180.0,bottom
D26,163.6365,-113.028999,180.0,bottom
D27,182.6865,-113.028999,180.0,bottom
D28,208.88025,-122.553999,180.0,bottom
D29,54.099,-132.078999,180.0,bottom
D3,87.4365,-65.403999,180.0,bottom
D30,73.149,-132.078999,180.0,bottom
D31,92.199,-132.078999,180.0,bottom
D32,111.249,-132.078999,180.0,bottom
D33,130.299,-132.078999,180.0,bottom
D34,149.349,-132.078999,180.0,bottom
D35,168.399,-132.078999,180.0,bottom
D36,187.449,-132.078999,180.0,bottom
D37,63.624,-151.128999,180.0,bottom
D38,82.674,-151.128999,180.0,bottom
D39,101.724,-151.128999,180.0,bottom
D4,106.4865,-65.403999,180.0,bottom
D40,120.774,-151.128999,180.0,bottom
D41,139.824,-151.128999,180.0,bottom
D42,158.874,-151.128999,180.0,bottom
D43,177.924,-151.128999,180.0,bottom
D44,204.11775,-151.128999,180.0,bottom
D45,68.3865,-170.178999,180.0,bottom
D46,104.10525,-170.178999,180.0,bottom
D47,135.0615,-170.178999,180.0,bottom
D48,161.25525,-170.178999,180.0,bottom
D49,185.06775,-170.178999,180.0,bottom
D5,125.5365,-65.403999,180.0,bottom
D50,208.88025,-170.178999,180.0,bottom
D6,154.1115,-65.403999,180.0,bottom
D7,173.1615,-65.403999,180.0,bottom
D8,192.2115,-65.403999,180.0,bottom
D9,211.2615,-65.403999,180.0,bottom
SW1,40.0015,-57.404,0.0,bottom
SW10,40.0015,-85.979,0.0,bottom
SW11,59.0515,-85.979,0.0,bottom
SW12,78.1015,-85.979,0.0,bottom
SW13,97.1515,-85.979,0.0,bottom
SW14,116.2015,-85.979,0.0,bottom
SW15,135.2515,-85.979,0.0,bottom
SW16,154.3015,-85.979,0.0,bottom
SW17,173.3515,-85.979,0.0,bottom
SW18,192.4015,-85.979,0.0,bottom
SW19,211.4515,-85.979,0.0,bottom
SW2,68.5765,-57.404,0.0,bottom
SW20,49.5265,-105.029,0.0,bottom
SW21,68.5765,-105.029,0.0,bottom
SW22,87.6265,-105.029,0.0,bottom
SW23,106.6765,-105.029,0.0,bottom
SW24,125.7265,-105.029,0.0,bottom
SW25,144.7765,-105.029,0.0,bottom
SW26,163.8265,-105.029,0.0,bottom
SW27,182.8765,-105.029,0.0,bottom
SW28,209.07025,-114.554,0.0,bottom
SW29,54.289,-124.079,0.0,bottom
SW3,87.6265,-57.404,0.0,bottom
SW30,73.339,-124.079,0.0,bottom
SW31,92.389,-124.079,0.0,bottom
SW32,111.439,-124.079,0.0,bottom
SW33,130.489,-124.079,0.0,bottom
SW34,149.539,-124.079,0.0,bottom
SW35,168.589,-124.079,0.0,bottom
SW36,187.639,-124.079,0.0,bottom
SW37,63.814,-143.129,0.0,bottom
SW38,82.864,-143.129,0.0,bottom
SW39,101.914,-143.129,0.0,bottom
SW4,106.6765,-57.404,0.0,bottom
SW40,120.964,-143.129,0.0,bottom
SW41,140.014,-143.129,0.0,bottom
SW42,159.064,-143.129,0.0,bottom
SW43,178.114,-143.129,0.0,bottom
SW44,204.30775,-143.129,0.0,bottom
SW45,68.5765,-162.179,0.0,bottom
SW46,104.29525,-162.179,0.0,bottom
SW47,135.2515,-162.179,0.0,bottom
SW48,161.44525,-162.179,0.0,bottom
SW49,185.25775,-162.179,0.0,bottom
SW5,125.7265,-57.404,0.0,bottom
SW50,209.07025,-162.179,0.0,bottom
SW6,154.3015,-57.404,0.0,bottom
SW7,173.3515,-57.404,0.0,bottom
SW8,192.4015,-57.404,0.0,bottom
SW9,211.4515,-57.404,0.0,bottom
